index,t,value_1,value_2
0,0.0,0.0,0.0
1,0.001,0.012867608389525755,0.006433804194762877
2,0.002,0.026336067458404815,0.013168033729202408
3,0.003,0.040402447938554145,0.020201223969277073
4,0.004,0.05506310601724758,0.02753155300862379
5,0.005,0.07031360770530382,0.03515680385265191
6,0.006,0.08614865044338696,0.04307432522169348
7,0.007,0.10256198208313419,0.051280991041567095
8,0.008,0.11954631740084859,0.059773158700424295
9,0.009,0.137093252324248,0.068546626162124
10,0.01,0.15519317607726607,0.07759658803863304
11,0.011,0.17383518147417176,0.08691759073708588
12,0.012,0.19300697362231523,0.09650348681115761
13,0.013,0.21269477732260386,0.10634738866130193
14,0.014,0.23288324348834794,0.11644162174417397
15,0.015,0.2535553549363405,0.12677767746817026
16,0.016,0.2746923319389049,0.13734616596945246
17,0.017,0.2962735379620703,0.14813676898103514
18,0.018,0.31827638605293646,0.15913819302646823
19,0.019,0.34067624637853555,0.17033812318926778
20,0.02,0.36344635545896065,0.18172317772948032
21,0.021,0.3865577276790318,0.1932788638395159
22,0.022,0.4099790697051318,0.2049895348525659
23,0.023,0.4336766984768265,0.21683834923841325
24,0.024,0.45761446348625157,0.22880723174312578
25,0.025,0.4817536741017153,0.24087683705085766
26,0.026,0.5060530327352003,0.25302651636760015
27,0.027,0.5304685746961264,0.2652342873480632
28,0.028,0.5549536156154434,0.2774768078077217
29,0.029,0.5794587073644571,0.2897293536822286
30,0.03,0.6039316034312768,0.3019658017156384
31,0.031,0.6283172347539262,0.3141586173769631
32,0.032,0.6525576970424155,0.32627884852120775
33,0.033,0.6765922506519008,0.3382961253259504
34,0.034,0.7003573340947904,0.3501786670473952
35,0.035,0.7237865923006904,0.3618932961503452
36,0.036,0.746810920748712,0.373405460374356
37,0.037,0.7693585266061572,0.3846792633030786
38,0.038,0.7913550080102397,0.39567750400511986
39,0.039,0.8127234526244813,0.40636172631224066
40,0.04,0.8333845565879515,0.41669227829397576
41,0.041,0.8532567649527905,0.42662838247639523
42,0.042,0.872256434672603,0.4361282173363015
43,0.043,0.8902980211605243,0.44514901058026213
44,0.044,0.9072942893801725,0.45364714469008627
45,0.045,0.9231565503644826,0.4615782751822413
46,0.046,0.9377949239757526,0.4688974619878763
47,0.047,0.9511186286243166,0.4755593143121583
48,0.048,0.9630362985523298,0.4815181492761649
49,0.049,0.9734563291625139,0.48672816458125695
50,0.05,0.9822872507286887,0.49114362536434436
51,0.051,0.9894381306649559,0.49471906533247795
52,0.052,0.9948190043529975,0.49740950217649876
53,0.053,0.9983413343317301,0.49917066716586506
54,0.054,0.9999184974402501,0.49995924872012504
55,0.055,0.9994662992734908,0.4997331496367454
56,0.056,0.9969035150603156,0.4984517575301578
57,0.057,0.992152455806103,0.4960762279030515
58,0.058,0.9851395582566285,0.49256977912831423
59,0.059,0.9757959969378284,0.4878979984689142
60,0.06,0.9640583162076708,0.4820291581038354
61,0.061,0.9498690799229595,0.4749345399614798
62,0.062,0.9331775359767919,0.46658876798839594
63,0.063,0.9139402926032414,0.4569701463016207
64,0.064,0.8921220029765593,0.44606100148827965
65,0.065,0.8676960542550539,0.43384802712752696
66,0.066,0.8406452568373972,0.4203226284186986
67,0.067,0.8109625292143448,0.4054812646071724
68,0.068,0.7786515734150178,0.3893257867075089
69,0.069,0.743727535667619,0.3718637678338095
70,0.07,0.7062176465237172,0.3531088232618586
71,0.071,0.6661618343374155,0.33308091716870775
72,0.072,0.6236133056504441,0.3118066528252221
73,0.073,0.5786390857166467,0.28931954285832334
74,0.074,0.531320512109666,0.265660256054833
75,0.075,0.4817536741017156,0.2408768370508578
76,0.076,0.43004979028493545,0.21502489514246773
77,0.077,0.37633551673626386,0.18816775836813193
78,0.078,0.32075317790833485,0.16037658895416743
79,0.079,0.2634609123691647,0.13173045618458235
80,0.08,0.20463272551896292,0.10231636275948146
81,0.081,0.14445844148990802,0.07222922074495401
82,0.082,0.08314354659077246,0.04157177329538623
83,0.083,0.02090891689933367,0.010454458449666835
84,0.084,-0.04200957706217849,-0.021004788531089245
85,0.085,-0.10536159520389843,-0.052680797601949214
86,0.086,-0.16888298840053065,-0.08444149420026532
87,0.087,-0.23229660014230416,-0.11614830007115208
88,0.088,-0.2953132140163101,-0.14765660700815506
89,0.089,-0.3576326508627036,-0.1788163254313518
90,0.09,-0.41894501846503507,-0.20947250923251753
91,0.091,-0.4789321155292206,-0.2394660577646103
92,0.092,-0.5372689904809437,-0.26863449524047184
93,0.093,-0.5936256542676733,-0.29681282713383667
94,0.094,-0.6476689448913902,-0.3238344724456951
95,0.095,-0.699064539825641,-0.3495322699128205
96,0.096,-0.7474791107914935,-0.37373955539574677
97,0.097,-0.7925826135890061,-0.39629130679450303
98,0.098,-0.834050703813651,-0.4170253519068255
99,0.099,-0.8715672673424215,-0.43578363367121076
100,0.1,-0.9048270524660198,-0.4524135262330099
101,0.101,-0.9335383884877262,-0.4667691942438631
102,0.102,-0.9574259735245839,-0.47871298676229196
103,0.103,-0.976233712153149,-0.4881168560765745
104,0.104,-0.9897275814631351,-0.49486379073156755
105,0.105,-0.9976985020430021,-0.49884925102150107
106,0.106,-0.9999651884491597,-0.49998259422457986
107,0.107,-0.9963769518343066,-0.4981884759171533
108,0.108,-0.9868164256616336,-0.4934082128308168
109,0.109,-0.9712021838429469,-0.48560109192147344
110,0.11,-0.949491219244389,-0.4747456096221945
111,0.111,-0.9216812493385291,-0.46084062466926456
112,0.112,-0.8878128148820869,-0.4439064074410434
113,0.113,-0.8479711369006346,-0.4239855684503173
114,0.114,-0.8022876970012867,-0.40114384850064333
115,0.115,-0.7509415061469908,-0.3754707530734954
116,0.116,-0.6941600275455884,-0.3470800137727942
117,0.117,-0.6322197202655289,-0.31610986013276443
118,0.118,-0.5654461716176619,-0.28272308580883093
119,0.119,-0.4942137882652682,-0.2471068941326341
120,0.12,-0.4189450184650354,-0.2094725092325177
121,0.121,-0.340109080817649,-0.1700545404088245
122,0.122,-0.2582201784306569,-0.12911008921532846
123,0.123,-0.17383518147417215,-0.08691759073708608
124,0.124,-0.0875507657411675,-0.04377538287058375
125,0.125,-2.4492935982947064e-16,-1.2246467991473532e-16
126,0.126,0.08815161936952629,0.04407580968476314
127,0.127,0.17621068175968502,0.08810534087984251
128,0.128,0.2634609123691643,0.13173045618458215
129,0.129,0.3491687404268316,0.1745843702134158
130,0.13,0.4325893596863206,0.2162946798431603
131,0.131,0.5129732475178205,0.25648662375891024
132,0.132,0.5895731009482976,0.2947865504741488
133,0.133,0.6616511398946239,0.33082556994731194
134,0.134,0.7284867196946315,0.36424335984731576
135,0.135,0.7893841869782549,0.3946920934891274
136,0.136,0.8436809050532735,0.42184045252663677
137,0.137,0.8907553674350132,0.4453776837175066
138,0.138,0.9300353110616247,0.46501765553081237
139,0.139,0.9610057342472216,0.4805028671236108
140,0.14,0.9832167186798333,0.49160835933991665
141,0.141,0.9962909499182151,0.49814547495910755
142,0.142,0.999930827029999,0.4999654135149995
143,0.143,0.9939250493907512,0.4969625246953756
144,0.144,0.978154567372235,0.4890772836861175
145,0.145,0.9525977838244711,0.47629889191223557
146,0.146,0.9173348950260238,0.4586674475130119
147,0.147,0.8725512632531254,0.4362756316265627
148,0.148,0.8185397183973525,0.40926985919867626
149,0.149,0.7557016932205486,0.3778508466102743
150,0.15,0.6845471059286897,0.34227355296434486
151,0.151,0.6056929148015415,0.30284645740077076
152,0.152,0.5198602826312596,0.2599301413156298
153,0.153,0.42787030366738293,0.21393515183369147
154,0.154,0.33063826257045487,0.16531913128522743
155,0.155,0.2291664134369225,0.11458320671846126
156,0.156,0.12453528713081893,0.06226764356540947
157,0.157,0.0178935567592804,0.0089467783796402
158,0.158,-0.08955348606491259,-0.044776743032456295
159,0.159,-0.19655676778540992,-0.09827838389270496
160,0.16,-0.3018374815215957,-0.15091874076079784
161,0.161,-0.4041022223090493,-0.20205111115452465
162,0.162,-0.5020590589472436,-0.2510295294736218
163,0.163,-0.5944343683664067,-0.29721718418320336
164,0.164,-0.6799902352971552,-0.3399951176485776
165,0.165,-0.7575421983087098,-0.3787710991543549
166,0.166,-0.8259771034562494,-0.4129885517281247
167,0.167,-0.8842708093365353,-0.4421354046682677
168,0.168,-0.9315054727862088,-0.4657527363931044
169,0.169,-0.9668861332540006,-0.4834430666270003
170,0.17,-0.9897563065037409,-0.49487815325187046
171,0.171,-0.999612295198534,-0.499806147599267
172,0.172,-0.9961159254773767,-0.49805796273868835
173,0.173,-0.9791054252127068,-0.4895527126063534
174,0.174,-0.9486041715174666,-0.4743020857587333
175,0.175,-0.9048270524660208,-0.4524135262330104
176,0.176,-0.848184211032538,-0.424092105516269
177,0.177,-0.7792819679658787,-0.38964098398293934
178,0.178,-0.6989207546389345,-0.3494603773194673
179,0.179,-0.608089926647285,-0.3040449633236425
180,0.18,-0.5079593737806407,-0.25397968689032036
181,0.181,-0.39986789151999647,-0.19993394575999823
182,0.182,-0.28530833286418833,-0.14265416643209416
183,0.183,-0.16590961637425994,-0.08295480818712997
184,0.184,-0.0434157260280483,-0.02170786301402415
